stu_id:token,exer_id:token,label:float
1,391,0
1,572,0
1,139,0
1,1806,0
1,1831,0
1,1757,0
1,1810,0
1,1746,0
1,33,1
1,37,1
1,31,1
1,58,1
1,49,1
1,54,0
1,21,0
1,30,0
1,43,0
1,48,0
1,28,0
1,36,0
1,51,0
2,27,1
2,31,0
2,37,0
2,18,1
2,14,1
2,6,1
2,25,1
2,23,1
2,29,1
2,100,1
2,234,1
2,588,1
2,543,1
2,1654,0
2,1722,0
2,1685,0
2,1415,0
2,1690,0
2,1644,0
2,1714,0
2,1698,0
0,235,0
0,172,0
0,68,0
0,542,0
0,101,0
0,541,0
0,540,0
3,1771,1
3,1838,1
3,848,1
3,261,1
3,587,1
3,77,1
3,68,1
3,289,1
3,247,1
3,235,1
3,614,1
3,1806,1
3,280,1
3,1297,0
3,1656,1
3,1419,1
3,1294,1
3,1687,1
3,1319,1
3,1545,1
3,1543,1
4,68,1
4,628,1
4,236,1
4,1011,1
4,139,1
4,247,1
4,569,1
4,420,1
4,1817,1
4,1757,1
4,1771,1
4,1746,1
4,1831,1
4,1656,1
4,1313,1
4,1633,1
4,1602,1
4,1419,1
4,1294,1
4,1545,1
4,1551,1
5,1633,1
5,942,1
5,1419,1
5,137,1
5,1454,1
5,420,1
5,215,1
5,305,1
5,123,1
5,253,1
5,164,1
5,257,1
5,1791,1
5,1823,1
5,1806,1
5,1810,1
5,1757,1
5,1771,1
5,1746,1
5,1831,1
5,1841,1
7,26,0
7,52,0
7,18,0
7,23,0
7,11,1
7,33,0
7,247,1
7,144,1
7,146,1
7,420,0
7,368,1
7,1843,1
7,1806,1
7,1757,1
7,1810,1
7,1826,1
7,1831,1
7,1791,1
7,1839,1
7,934,0
7,1087,0
7,1114,0
7,1136,0
7,1219,0
7,1205,0
7,1454,0
7,1637,0
7,1429,0
6,24,1
6,13,1
6,11,1
6,18,1
6,28,1
6,8,1
6,74,1
6,144,0
6,139,1
6,77,1
6,261,1
6,68,1
6,545,1
6,173,1
6,569,1
6,1656,1
6,588,1
6,146,1
6,247,0
6,1419,0
6,171,1
5,581,1
5,1429,1
5,1669,0
5,1715,1
5,1719,1
5,1434,1
5,1317,1
5,1614,1
5,1326,1
5,1844,1
5,1832,1
5,1785,1
5,1775,1
5,1764,1
8,1844,1
8,1833,1
8,1818,0
8,1804,1
8,1771,1
8,567,1
8,558,1
8,172,1
8,305,1
8,614,1
8,81,1
5,1367,1
5,1550,1
5,1304,1
5,1598,1
5,1394,1
5,1436,0
5,1397,1
5,1087,1
5,1071,1
5,1190,1
5,1212,1
5,1205,1
5,1203,1
5,1280,1
5,1133,1
5,40,1
5,50,1
5,45,1
5,28,1
5,21,1
5,33,1
5,18,1
5,54,1
5,1582,1
5,1605,1
5,1335,1
5,1503,0
5,1603,1
5,1433,1
5,658,0
5,1527,1
5,470,1
5,1818,1
5,1801,1
5,1781,1
5,1842,1
5,1834,1
5,1760,1
5,1737,1
0,1819,1
0,1832,1
0,1842,1
0,1810,1
0,1771,1
9,18,1
9,42,0
9,26,1
9,32,0
9,35,0
9,13,1
9,38,1
9,1419,1
9,1545,1
9,1319,1
9,1310,1
9,1687,1
9,1543,1
9,1715,1
9,1551,1
9,1071,1
9,1198,1
9,1232,1
9,1280,1
9,1149,1
9,1281,1
9,1260,1
9,1278,1
9,291,0
9,280,1
9,213,1
9,353,1
9,305,1
9,346,1
9,1771,1
9,1818,1
9,1746,1
9,1845,1
9,1835,1
9,1733,0
9,1799,1
9,1777,1
9,1821,1
9,1741,1
9,1828,1
9,1788,1
9,1732,1
9,1797,1
9,1776,1
9,1763,1
9,1813,1
9,1783,1
9,1778,1
9,1753,1
9,1816,1
9,1748,1
9,1792,1
9,1381,1
9,1380,1
9,1434,1
9,1357,1
9,1420,1
9,1564,1
9,1492,1
9,1424,1
9,1598,1
9,1320,1
9,1478,1
9,1494,1
9,1399,1
9,1475,1
9,1474,1
9,1328,1
9,1493,1
9,1503,1
9,1436,1
9,1469,1
9,1372,1
9,1477,1
9,1579,1
9,1303,1
9,1369,1
9,1596,1
9,1448,1
9,1366,1
9,1472,1
9,1373,1
9,1295,1
9,1554,1
9,1674,0
9,1552,1
9,1820,1
9,1809,1
9,1743,1
9,1827,1
9,1765,1
9,1814,1
9,1801,1
9,1750,1
9,1403,1
9,1605,1
9,1356,1
9,1534,0
9,1559,1
9,1299,1
9,1444,1
9,1395,1
9,1560,1
9,1479,1
9,1491,1
9,1497,1
9,1532,1
9,1528,1
9,1589,1
5,30,1
5,43,1
5,48,1
5,51,1
5,36,1
5,35,1
5,47,1
5,41,1
5,1837,1
5,1793,1
5,1787,1
5,1774,1
5,1808,1
5,1747,1
5,452,1
5,685,1
5,659,1
5,515,1
5,667,0
5,503,1
5,483,1
5,508,1
5,1224,1
5,1257,1
5,1275,1
5,506,0
5,525,1
5,537,1
5,1195,1
5,1790,1
5,1773,1
5,1812,1
5,1759,1
5,1840,1
5,1836,1
5,1745,1
5,1729,1
5,1182,1
5,1183,1
5,1160,1
5,1248,1
5,1241,1
5,1141,1
9,1300,1
9,1426,1
9,1334,1
9,1302,1
9,1557,1
9,1572,1
9,1430,1
9,1422,1
9,1585,1
6,26,1
6,21,1
6,27,1
6,12,1
6,10,1
6,3,1
6,7,1
6,578,0
6,586,1
6,596,1
6,607,1
6,101,1
6,34,0
6,53,1
6,38,1
6,47,0
10,172,1
10,111,1
10,352,1
10,164,1
10,644,1
10,253,1
10,291,1
10,383,1
10,391,1
10,348,1
10,97,0
10,132,1
10,282,1
10,432,1
10,426,1
10,408,1
10,228,1
10,347,1
10,304,1
10,196,1
10,255,1
10,1310,1
10,1307,1
10,1454,1
10,1435,1
10,1380,1
10,1365,1
10,1297,1
10,1553,1
10,1607,1
10,1604,1
10,1400,1
10,1376,0
10,1529,1
10,1479,1
10,1444,1
10,1582,1
10,1330,1
10,1438,0
10,1298,1
10,1436,1
10,1534,1
10,1377,1
10,1372,1
10,1477,1
10,1370,1
10,1484,1
10,1378,0
10,1350,1
10,1433,1
10,1536,1
10,1601,1
10,1468,1
10,1428,1
10,1532,1
10,1332,1
10,1496,1
10,1337,0
10,1521,1
10,1593,1
10,1327,1
10,1617,1
10,1530,1
10,1304,1
10,1594,1
10,1590,1
10,1321,1
10,1489,1
10,1391,1
10,1386,1
10,1465,1
10,1440,1
10,1329,1
10,1453,1
10,1606,0
10,1499,1
5,1438,1
5,1463,1
5,492,1
5,1378,1
5,688,1
5,845,1
5,1086,1
5,1070,1
5,1073,1
5,1076,1
5,930,1
5,1003,1
5,969,1
5,1084,1
5,733,1
5,782,1
5,769,1
5,747,1
5,737,1
5,780,1
5,715,1
5,730,1
11,38,1
11,50,1
11,39,1
11,44,1
11,55,1
11,46,1
11,32,1
11,26,0
11,18,1
11,15,1
11,1,1
11,10,1
11,7,1
11,3,1
12,46,1
12,38,1
12,55,1
12,32,1
12,41,1
12,33,1
12,42,1
12,48,1
12,21,1
12,1,1
12,10,1
12,4,1
12,54,1
12,36,1
12,27,1
12,34,1
12,51,1
12,57,1
12,23,1
12,40,1
12,50,1
12,24,1
12,17,1
12,12,1
12,9,1
12,2,1
12,644,1
12,268,1
12,305,1
12,253,1
12,367,1
12,291,1
12,391,1
12,577,1
12,578,1
12,1203,1
12,1212,1
12,1232,1
12,1198,1
12,1285,1
12,1280,1
12,1149,1
12,1281,1
12,1260,1
12,1490,1
12,1380,1
12,1365,1
12,1381,1
12,1564,0
12,1687,1
12,1818,1
12,1837,0
12,1793,1
12,1733,1
12,56,1
12,47,1
12,53,1
12,49,1
12,37,1
12,59,1
12,44,1
6,123,1
6,614,1
6,368,1
6,280,0
6,1319,1
6,1687,1
6,1543,0
6,1715,0
6,1638,1
6,1827,0
6,1824,1
6,1811,0
6,1801,0
6,1746,0
6,1777,0
6,55,1
6,46,1
6,42,1
6,39,1
6,59,1
6,52,1
6,22,1
6,178,1
6,548,1
6,541,1
6,208,1
6,176,1
6,169,1
6,540,1
6,609,1
6,200,1
6,780,1
6,747,1
6,778,1
6,782,1
6,769,1
6,753,0
6,755,1
6,781,1
6,29,1
6,20,1
6,14,1
6,9,1
6,0,1
13,609,1
13,148,1
13,309,1
13,335,1
13,268,1
13,247,1
13,255,1
13,1801,1
13,1818,1
13,1757,1
13,1791,1
13,1827,1
13,1746,1
13,1733,1
5,527,1
5,663,1
5,1534,1
5,1460,1
5,1259,1
5,509,1
5,1376,1
5,1845,1
5,1788,1
5,1777,1
5,1805,1
5,1755,1
5,1750,1
5,1830,0
5,1797,1
5,1814,0
5,1821,1
5,1743,1
5,1829,1
14,247,1
14,614,1
14,182,1
14,150,1
14,186,1
14,578,0
14,943,1
14,877,1
14,1071,1
14,1079,1
14,1034,1
14,767,0
14,1203,1
14,1084,1
15,614,1
15,1818,1
15,150,1
15,164,1
17,26,1
17,32,1
17,38,1
17,58,1
17,42,1
17,41,1
17,49,1
17,53,1
17,598,0
17,164,1
17,280,1
17,186,1
15,470,1
15,605,1
15,652,1
15,465,0
15,452,1
15,440,1
15,451,1
15,471,1
18,262,0
18,566,1
18,253,1
18,310,1
18,620,1
18,78,1
18,119,1
18,1482,1
18,1616,1
18,1541,1
18,1310,1
18,1551,1
18,1360,1
18,1553,1
18,1305,1
18,1505,1
18,1464,1
18,1396,1
18,1642,1
18,1587,1
19,1384,1
19,1687,0
19,1311,1
19,1490,1
19,1380,1
19,1305,1
19,1331,1
19,1435,1
19,1553,1
19,1588,1
19,1613,1
19,1607,1
19,1452,1
20,1490,0
20,1609,1
20,1443,1
20,1576,1
20,1449,1
20,1618,1
20,1715,1
20,1691,1
20,1614,1
20,1548,1
20,1326,0
20,1517,1
20,1592,1
20,1448,1
20,1057,1
20,934,1
20,1071,1
20,153,1
20,269,1
20,346,1
20,282,1
20,1232,1
20,1827,1
20,1198,1
20,1087,1
20,568,1
20,1811,1
20,1203,1
20,1492,1
20,1424,1
21,998,0
21,851,1
21,1653,1
21,1014,1
21,1380,0
21,880,0
21,968,1
21,1757,0
21,1443,0
21,1305,1
21,205,0
21,237,0
21,287,0
21,150,1
21,173,1
21,280,0
21,609,0
21,79,0
21,289,1
21,171,1
21,588,1
21,215,1
21,584,1
21,368,1
21,81,1
21,310,1
21,18,0
21,17,1
21,13,1
21,53,1
21,45,1
21,9,1
21,33,1
21,32,1
21,42,1
21,59,1
21,50,1
21,24,1
21,51,1
21,56,1
21,15,1
21,29,1
21,47,1
21,35,1
21,41,0
16,253,0
16,148,0
16,164,1
16,210,1
16,310,1
16,268,1
16,186,1
16,78,1
16,240,1
16,264,1
16,290,1
16,86,1
16,356,1
16,911,1
16,972,1
16,1156,1
16,1076,1
16,874,1
16,1074,1
16,1232,1
16,930,1
22,183,1
22,1048,1
22,969,1
22,936,1
22,1081,1
22,930,1
22,1365,1
22,1305,1
22,1581,1
22,1618,1
22,1687,1
22,1791,1
22,1811,1
22,1757,1
22,1777,1
22,1845,1
22,1829,1
22,1733,1
22,1801,1
22,1319,0
22,86,1
22,1198,1
22,611,1
22,602,1
22,153,1
22,1232,0
22,205,1
22,262,1
22,651,1
22,283,1
22,198,1
22,652,0
22,97,1
22,452,1
22,440,1
22,486,1
22,451,1
22,471,1
22,648,1
22,685,1
22,659,1
23,42,1
23,59,1
23,27,1
22,653,1
23,38,1
22,515,1
23,55,1
23,35,1
23,1057,1
23,1046,1
23,1198,1
23,999,1
23,1212,0
23,1285,1
23,1757,1
23,1791,1
23,1746,1
23,1777,1
23,1812,1
23,1829,1
23,1825,1
23,1755,1
23,1745,1
23,1771,1
23,1814,0
23,1830,0
23,1725,1
23,1845,1
23,1824,1
23,1805,1
23,1788,1
23,1751,1
23,1811,0
23,1747,1
23,1827,1
23,1844,1
23,1822,1
22,53,1
22,37,1
22,50,1
22,45,0
22,40,1
22,35,1
22,57,1
22,30,1
22,18,1
22,38,1
22,21,1
22,51,1
22,48,1
22,54,1
22,47,1
22,43,1
22,12,1
22,1,0
22,36,1
22,59,1
22,52,1
22,28,1
22,25,1
22,13,1
22,42,1
22,49,1
22,17,1
22,2,1
22,8,1
22,58,1
22,4,1
22,24,1
22,46,1
22,14,1
22,15,1
22,9,1
22,0,1
22,29,1
22,32,1
22,5,1
22,39,1
24,233,1
24,175,1
24,237,1
24,287,1
24,205,1
24,309,1
24,259,1
24,235,1
24,780,1
24,753,1
24,725,1
24,762,1
24,741,1
25,1090,1
25,909,1
25,290,1
25,237,1
25,23,1
25,930,1
25,1075,1
25,180,1
25,55,1
25,37,1
25,34,1
25,40,1
25,52,1
